id;damage_organ;damage_visual;damage_cat;date
073;Frutos (Zona del caliz);Presencia de larvas de trips en frutos pequenos especialmente en la zona del caliz y bajo este;Picador-chupador;Continua
074;Frutos (Zona de contacto);Presencia de trips en las zonas donde los frutos entran en contacto entre ellos o con las hojas o ramas;Picador-chupador;Julio-Noviembre
075;Hojas Frutos Ramas (Zona inferior);Presencia de caracoles o babosas y danos por mordeduras en las hojas y frutos de las zonas mas bajas del arbol;Masticador;Continua
076;Frutos (Zona inferior);Presencia de aguado o podredumbre marron en los frutos provocando pudriciones;Enfermedad;Septiembre-Noviembre
077;Tronco (Zona del cuello). Ramas principales;Presencia de podredumbre en el cuello del arbol y exudacion de goma o gomosis en el tronco y ramas principales asociada a periodos de encharcamiento;Hongo;Marzo-Mayo Septiembre-Noviembre
078;Hojas (Jovenes). Frutos;Presencia de manchas marrones en las hojas jovenes y en los frutos asociadas a epocas de lluvia;Enfermedad;Marzo-Mayo Septiembre-Noviembre
079;Madera. Frutos;Presencia de decaimiento y muerte de plantas injertadas sobre naranjo amargo asi como estrias o acanaladuras en la madera acompanadas de pobre produccion y menor calibre de los frutos;Enfermedad;Continua
080;Hojas. Tallos;Presencia de ninfas y adultos devorando la parte aerea de los pastos provocando una defoliacion severa y perdida de masa vegetal;Masticador;Abril-Julio
081;Hojas (Axilas);Presencia de larvas y crisalidas bajo la hierba asi como mordeduras circulares y excrementos de orugas en las axilas de las hojas;Masticador;Continua
082;Hojas (Axilas);Presencia de larvas y crisalidas bajo la hierba asi como mordeduras circulares y excrementos de orugas en las axilas de las hojas;Masticador;Continua
083;Plantas;Presencia de plantas con danos y larvas bajo la capa superficial del suelo;Masticador;Continua
084;Raices;Presencia de larvas enterradas en el suelo que salen a la superficie al anochecer o al amanecer provocando danos en la pradera;Masticador;Continua
085;Raices;Presencia de larvas en el suelo debajo de las hierbas sueltas provocando danos;Masticador;Continua
086;Raices;Presencia de larvas en el suelo debajo de las hierbas sueltas provocando danos;Masticador;Continua
087;Raices;Presencia de larvas a 5 o 10 cm de profundidad en el suelo provocando danos;Masticador;Continua
088;Suelo (Madrigueras). Plantas;Presencia de toperas y huras activas con excrementos acumulaciones de restos vegetales frescos y excavacion reciente en el terreno;Vertebrado;Continua
089;Suelo (Madrigueras). Plantas;Presencia de toperas y huras activas con excrementos acumulaciones de restos vegetales frescos y excavacion reciente en el terreno;Vertebrado;Continua
