id;biological_control;physical_control;chemical_control
035;Combinaciones de ciertas bacterias (Bacillus subtilis. Pseudomonas pseudoalcaligenes y P. chlororaphis) con Trichoderma spp. (T. atroviride y T. virens) pueden producir retraso de la podredumbre blanca;Solarización alrededor del tronco en árboles infectados;Aireación de raíces y tronco mediante zanjas con aplicación de fungicidas. Se podrán utilizar. en el caso de que existan. los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura. Pesca y Alimentación
036;Medios biológicos. Favorecer la presencia de enemigos naturales como coleópteros de las familias Staphylinidae e Histeridae. Medios biotecnológicos. Trampeo masivo de adultos colocando de 80 a 100 trampas por hectárea cebados con un atrayente alimenticio situadas a 1.5-2 metros en la cara sur o sureste del árbol. Las trampas requerirán de un mantenimiento adecuado según e modelo elegido y las condiciones meteorológicas;Ninguno;Aplicar preferentemente en forma de parcheo con un atrayente alimenticio. Precaución con la peligrosidad para peces y abejas de algunos productos. Se podrán utilizar en el caso de que existan los productos fitosanitarios
autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura. Pesca y Alimentación
037;Fomentar los depredadores de huevos (Scutellista spp.) y parasitoides (Metaphycus flavus);Ninguno;Limitar la aplicación a los focos. Calibrar bien la maquinaria de tratamiento y realizar la aplicación con la suficiente presión para mojar bien las hojas. Precaución con la peligrosidad para peces y abejas de algunos productos. Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
038;Favorecer la presencia de la fauna auxiliar autóctona ya que realiza un control biológico muy importante. Destacan: Parasitoides de las familias Encyrtidae.  Aphelinidae y Pteromalidae. Depredadores generalistas como los coleópteros Exochomus quadripustulatus y Cryptolaemus montrouzieri;Ninguno;Limitar la aplicación a los focos. Precaución con la peligrosidad para peces y abejas de algunos productos. Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
039;Favorecer la presencia de la fauna auxiliar autóctona ya que realiza un control biológico muy importante. Destacan:  Parasitoides de las familias Encyrtidae (Leptomastix dactylopii y Leptomastidea abnormis). Depredadores Cryptolaemus montrouzieri y Scymus spp. Leucopis griseola;Ninguno;Limitar la aplicación a los focos Precaución con la peligrosidad para peces y abejas de algunos productos. Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
040;Favorecer la presencia de la fauna auxiliar autóctona ya que realiza un control biológico muy importante. Destacan:  Parasitoides de las familias Encyrtidae (Leptomastix dactylopii y Leptomastidea abnormis). Depredadores Cryptolaemus montrouzieri y Scymus spp. Leucopis griseola;Ninguno;Limitar la aplicación a los focos Precaución con la peligrosidad para peces y abejas de algunos productos. Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
041;Los depredadores principales son los pájaros;Uso de diferentes tipos de barreras aplicadas directamente sobre los troncos o láminas de cobre que rodean el tronco. Pintar el tronco con cal seca;Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
042;Los depredadores principales son los pájaros;Uso de diferentes tipos de barreras aplicadas directamente sobre los troncos o láminas de cobre que rodean el tronco. Pintar el tronco con cal seca;Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
043;Los depredadores principales son los pájaros;Uso de diferentes tipos de barreras aplicadas directamente sobre los troncos o láminas de cobre que rodean el tronco. Pintar el tronco con cal seca;Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
044;Los depredadores principales son los pájaros;Uso de diferentes tipos de barreras aplicadas directamente sobre los troncos o láminas de cobre que rodean el tronco. Pintar el tronco con cal seca;Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
045;Los depredadores principales son los pájaros;Uso de diferentes tipos de barreras aplicadas directamente sobre los troncos o láminas de cobre que rodean el tronco. Pintar el tronco con cal seca;Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
046;Ninguno;Ninguno;Los medios químicos son lentos y costosos e incluso inviables en estado avanzado de la enfermedad. Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
047;En viveros inocular los plantones con el hongo Ceratobasidium sp.;Ninguno;Lento. costoso e incluso inviable en estado avanzado de la enfermedad. Para una mayor eficacia las aplicaciones deben efectuarse en periodo de crecimiento activo de la planta. Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el. Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
048;Ninguno;Ninguno;Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el. Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
049;No hay ningúna opción de aplicar este tipo de control de forma artificial contra esta plaga aunque se ha detectado depredación a cargo de fitoseidos presentes en el cultivo;Ninguno;En caso de decidir tratar realizar la aplicación cuando la mayor parte de los brotes de los árboles se encuentren entre 4 y 6 cm de longitud. Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
050;No se conocen enemigos naturales eficaces contra la araña roja en cítricos aunque suelen verse con frecuencia entre sus colonias los ácaros fitoseidos Neoseiulus californicus y Phytoseiulus persimilis y larvas y adultos del coleóptero coccinélido Stethorus punctillum;Ninguno;Los tratamientos con acaricidas deben hacerse siempre cuando se observen formas vivas o puestas visibles y no de manera preventiva o por observar sólo síntomas. Para obtener una alta eficacia se deben mojar bien todas las partes del árbol incluso las internas y las elevadas con presiones adecuadas de trabajo. En esta plaga es muy importante la alternancia entre materias activas de diferente método de acción ya que de lo contrario se pueden desarrollar resistencias. Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
051;Amblyseius californicus. Conwentzia psociformis. Euseius stipulatus. Phytoseiulus persimilis. Semidalis aleyrodiformis. Sethorus punctillum. Typhlodromus phialatus;Ninguno;Dar prioridad a insecticidas respetuosos con los enemigos naturales. En esta plaga es muy importante la alternancia entre materias activas de diferente modo de acción ya que de lo contrario se pueden desarrollar resistencias. Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
052;Stethorus punctillum;Ninguno;En esta plaga es muy importante la alternancia entre materias activas de diferente modo de acción ya que de lo contrario se pueden desarrollar resistencias. Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
053;Los parasitoides bracónidos (Lysiphlebus testaceipes. Trioxys angelicae y Aphidius matricariae) y los depredadores coccinélidos (Propylea quatuordecimpunctata. Scymnus) sírfidos. cecidomíidos (Aphidoletes aphidimyza) y crisópidos (Chrysoperla carnea);Ninguno;Dar prioridad a insecticidas respetuosos con los enemigos naturales de pulgones. Una vez sobrepasado el umbral. realizar el tratamiento antes de dos días. Mojar sólo la parte externa del árbol  dejando el interior sin tratar para que sirva de reservorio a los enemigos naturales presentes a excepción de los años en los que se haya realizado una poda intensa. Vigilar especialmente especies sensibles (clementinos) y árboles en desarrollo Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
054;Los parasitoides bracónidos (Lysiphlebus testaceipes. Trioxys angelicae y Aphidius matricariae) y los depredadores coccinélidos (Propylea quatuordecimpunctata. Scymnus) sírfidos. cecidomíidos (Aphidoletes aphidimyza) y crisópidos (Chrysoperla carnea);Ninguno;Dar prioridad a insecticidas respetuosos con los enemigos naturales de pulgones. Una vez sobrepasado el umbral realizar el tratamiento antes de dos días. Mojar sólo la parte externa del árbol dejando el interior sin tratar para que sirva de reservorio a los enemigos naturales presentes a excepción de los años en los que se haya realizado una poda intensa. Vigilar especialmente especies sensibles (clementinos) y árboles en desarrollo. Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
055;Medios biológicos: Auxiliares que de manera espontánea muestran una cierta acción contra Piojo blanco: Aphytis chilensis (ectoparásito) Encarsia citrina (endoparásito) y Rhyzobius (Lindorus) lophanthae (depredador). Son muy sensibles a las intervenciones químicas incontroladas. Las sueltas artificiales de Aphytis melinus han demostrado buena eficacia. Medios biotecnológicos. No hay ninguna opción de actuar contra esta plaga por estos medios. Se ha ensayado la técnica de confusión sexual con buen resultado pero no se ha llegado a comercializar por lo que no está disponible para los agricultores;Ninguno;La eficacia del tratamiento al primer máximo de inmaduros es mayor que al segundo. El aceite mineral es el producto más recomendable por su eficacia y compatibilidad con el control biológico. pero según su calidad y momento de aplicación puede producir problemas de fitotoxicidad. Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
056;Medios biológicos: Los ectoparasitoides afelínidos Aphytis melinus y Aphytis chrysomphali son los enemigos naturales más eficientes en la regulación de las poblaciones de A. aurantii. Entre los depredadores destaca el coleóptero coccinélido Rhyzobius lophanthae. Las sueltas artificiales de Aphytis melinus han demostrado buena eficacia. Medios biotecnológicos: La confusión sexual con feromonas permite controlar de forma adecuada las poblaciones del piojo rojo de California;Ninguno;La eficacia del tratamiento al primer máximo de inmaduros es mayor que al segundo. Es frecuente la aparición de resistencia a plaguicidas en las poblaciones de A. aurantii por lo que hay que evitar repetir los mismos productos y aplicarlos de forma innecesaria. Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
057;El principal enemigo natural y responsable del buen control biológico de esta plaga es Aphytis lepidosaphes;Ninguno;La eficacia del tratamiento al primer máximo de inmaduros es mayor que al segundo. El aceite mineral es el producto más recomendable por su eficacia y compatibilidad con el control biológico pero según su calidad y momento de aplicación puede producir problemas de fitotoxicidad. Se aconseja mojar bien todo el árbol incluso las ramas y el tronco. Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
058;Liberación de Cryptolaemus montrouzieri (2000 individuos/ha) cuando la mayor parte de la población esté en hembras con ovisaco. Parasitoides asociados a la plaga Metaphycus nietneri y Metaphycus helvolus;Ninguno;El momento óptimo para la realización de los tratamientos fitosanitarios es cuando la plaga se encuentra en los primeros estadios ninfales (N1 y N2). Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
059;Medios biológicos: El prncipal depredador del cotonet es el coccinélido Cryptoleamus montrouzieri se pueden realizar sueltas al final de la primavera (5 a 10 por árbol). Los principales parasitoides del cotonet son los encírtidos Anagyrus pseudococci (a razón de 1.500-3.000 individuos/ha). Leptomastix dactylopii (10 a 20 por árbol) y Leptomastidea abnormis. Medios biotecnológicos:  En el caso de estar autorizado para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación. Se podrá usar el trampeo masivo basado en un sistema de trampas cebadas con feromona sexual;Ninguno;Si se respetan las poblaciones de enemigos naturales no debería ser necesario intervenir. Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
060;Medios biológicos: Liberación de adultos del insecto depredador Cryptolaemus montrouzieri (2000 individuos/ha) durante el verano-otoño. Otros depredadores generalistas: Wesmaelius subnevulosus. dípteros cecidómidos Nephus spp. Crisopa spp. Gaeolaelaps aculeifer. Medios biotecnológicos. En el caso de estar autorizado para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación se podrá usar el trampeo masivo basado en un sistema de trampas cebadas con feromona sexual que incorporan un insecticida. Se colocaran durante los primeros días del mes de febrero. Medios físicos: Colocación de barreras físicas alrededor del tronco en su parte baja a la salida del invierno;Ninguno;El tratamiento químico se realizará a la caída de pétalos cuando se supere el umbral de tratamiento. Se continuará vigilando los frutos en crecimiento hasta que alcancen 3-4 cm y se repetirá el tratamiento si se vuelve a superar este porcentaje. Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
061;La cochinilla acanalada se encuentra totalmente controlada por el coccinélido Rodolia cardinalis;Ninguno;En ningún caso se recomienda tratar. Evitar tratamientos contra otras plagas que puedan dañar a R. cardinalis
062;El parásito Cales noacki ejerce un buen control sobre la plaga. Otro parásito es Amitus spiniferus. Entre los depredadores se encuentran Clitostethus arcuatus;Ninguno;Aplicar los tratamientos cuando predominen en la población las larvas jóvenes denominadas larvas miel. Evitar los tratamientos cuando predominen las larvas desarrolladas denominadas larvas borra. Evitar insecticidas nocivos para Cales noacki Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
063;En la Península Ibérica el único parasitoide sobre las ninfas de D. citri es el himenóptero afelínido Encarsia strenua con porcentajes de parasitismo bajos inferiores al 20 %. También se observa con frecuencia el coleóptero coccinélido depredador Clitostethus arcuatus; Ninguno;Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
064;El control biológico es muy escaso. Observándose raramente algún depredador generalista en sus poblaciones;Ninguno;Las aplicaciones de fitosanitarios deben realizarse con elevado volumen de caldo plaguicida. Se podrán utilizar en el caso de que existan los productos fitosanitarios autorizados para este uso en el Registro de Productos Fitosanitarios del Ministerio de Agricultura Pesca y Alimentación
